Ab S. 2; Annotierung (Angabe Nummer in Anahngscheckliste) ;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
"Name der Gesellschaft Sitz der Gesellschaft
Anteil am Kapital
%
Eigenkapital
TEUR
Jahresergebnis
TEUR
Anteile an verbundenen Unternehmen
A.W. Faber-Castell COSMETICS GmbH Stein, Deutschland 100 4.946 7.3981
A.W. Faber-Castell Retail GmbH Dsseldorf,
Deutschland
100 25 -1.2561
A.W. Faber-Castell Vertrieb GmbH Stein, Deutschland 100 7.854 11.7251
Eberhard Faber Vertrieb GmbH Stein, Deutschland 100 25 2531
Faber-Castell Kreativ -Graf von Faber-Castell
shop Frankfurt GmbH
Frankfurt am Main ,
Deutschland
100 218 -1981
Untersttzungskasse der Firma A. W. Faber-
Castell e.V.
Stein, Deutschland 100 6.974 142
Name der Gesellschaft Sitz der Gesellschaft
Anteil am Kapital
%
Eigenkapital
TEUR
Jahresergebnis
TEUR
A.W. Faber-Castell Amazonas S.A. Manaus, Brasilien 99,9 19.986 7.272
A.W. Faber-Castell Argentina S.A. Buenos Aires,
Argentinien
100 3.305 1.036
A.W. Faber-Castell (AUST) Pty. Ltd. Smithfield, Australien 75 -1.030 974
A.W. Faber-Castell Austria GmbH Wien, ™sterreich 100 514 158
A.W. Faber-Castell Cesk  republika, spol s.r.o. Hluboka nad Vltavou,
Tschechien
100 3.176 747
A.W. Faber-Castell Chile S.A. Santiago, Chile 66,67 1.704 287
A.W. Faber-Castel Colombia Ltda. Santef‚ de Bogot ,
Kolumbien
51 3.783 136
A.W. Faber-Castell Ges.m.b.H. Engelhartszell,
™sterreich
100 2.416 188
A.W. Faber-Castell (Guangzhou) Stationery
Ltd.
Guangzhou, China 90 5.271 1.390
A.W. Faber-Castell (H.K.) Ltd. Hongkong 100 1.761 22
A.W. Faber-Castell (Holding) AG Zrich, Schweiz 100 13.722 6.261
A.W. Faber-Castell (India) Pvt. Ltd. Mumbai, Indien 100 -1.022 1.124
A.W. Faber-Castell Italia S.r.l. Mailand, Italien 100 6 -836
A.W. Faber-Castell (M) Sdn. Bhd. Kuala Lumpur,
Malaysia
70 15.693 6.058
A.W. Faber-Castell Nordic ApS Skovlunde, D„nemark 100 606 5
A.W. Faber-Castell (NZ) Limited Auckland, Neuseeland 90 1.453 8
A.W. Faber-Castell Peruana S.A. Lima, Peru 66,67 42.760 3.119
A.W. Faber-Castell (S) Pte. Ltd. Singapur 100 1.353 -2
A.W. Faber-Castell S.A. SÆo Carlos, Brasilien 90,21 72.829 22.907
A.W. Faber-Castell S.A.R.L. Voisins-Le-
Bretonneux,
Frankreich
100 636 138
A.W. Faber-Castell Schweiz AG Adliswil, Schweiz 100 1.229 4
A.W. Faber-Castell USA, Inc. Cleveland, OH, USA 100 11.335 545
A.W. Faber-Castell & T.H. Reforestation S.A.S. Barranquilla,
Kolumbien
70 -5.522 -307
Castelo Verde S.A. SÆo Carlos, Brasilien 99,99 2.899 832
Faber-Castell Stor Comercial Importadora e
Exportadora Ltda.
SÆo Carlos, Brasilien 100 223 218
Florestal lgua‡u S.A. Morretes Paran…,
Brasilien
99,2 1.428 -92
Greencastle Comercial Exportadora Ltda. SÆo Carlos, Brasilien 90 388 112
Industrial y Comercializadora Vikingo S.A.C. Lima, Peru 99,9 2.347 -26
LLC faber-Castell Anadolu Moskau, Russland 50 718 1512
Maderin ECO S.A. Ciudad Nelly, Costa
Rica
100 7.503 -31
Pr¢lapis Florestal Ltda. Prata/Minas Gerais,
Brasilien
99 1.339 262
PT. A.W. Faber-Castell Indonesia Bekasi, Indonesien 52 16.166 6.031
PT. A.W. Faber-Castell International Indonesia Jakarta, Indonesien 75 13.293 4.088
PT. Faber-Castell Marketing Indonesia Jakarta, Indonesien 99 1.554 553
PT. Pencil Lead Indonesia Bekasi, Indonesien 52 3.417 1.846
Societa Immobiliare Ilse di Anton Wolfgang
Graf von Faber-Castell & Co.
Mailand, Italien 100 1.627 12
1 Vor Ergebnisabfhrung
2 Abschluss zum 31. Dezember 2016"; 89 ;2016/17;AG;Jahresabschluss;KPMG
Stein, den 12. Juli 2017;;2016/17;AG;Jahresabschluss;KPMG
Faber-Castell Aktiengesellschaft;;2016/17;AG;Jahresabschluss;KPMG
Der Vorstand;;2016/17;AG;Jahresabschluss;KPMG
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
