Ab S. 16; Annotierung (Angabe Nummer in Anahngscheckliste) ;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
Die Guthaben bei Kreditinstituten wurden ebenfalls zum Nennwert angesetzt.; 7.33 ;2016/2017;AG;Jahresabschluss;KBHT
Als Rechnungsabgrenzungsposten werden auf der Aktivseite Ausgaben vor dem Abschlussstichtag ausgewiesen, sofern sie Aufwand fr eine bestimmte Zeit nach diesem Tag darstellen.; 7.34 ;2016/2017;AG;Jahresabschluss;KBHT
Bei der Bemessung der Rckstellungen wurden alle erkennbaren Risiken bercksichtigt. Sie werden in H”he des wahrscheinlichen Erfllungsbetrages angesetzt.; 7.47 ;2016/2017;AG;Jahresabschluss;KBHT
Verbindlichkeiten sind mit dem Erfllungsbetrag ausgewiesen.; 7.51 ;2016/2017;AG;Jahresabschluss;KBHT
Angaben zur Bilanz;;2016/2017;AG;Jahresabschluss;KBHT
Angaben zum Anteilsbesitz;;2016/2017;AG;Jahresabschluss;KBHT
Die Gesellschaft ist an nachfolgenden Gesellschaften i.S.d. õ 285 Nr. 11 HGB beteiligt:; 4.13 ;2016/2017;AG;Jahresabschluss;KBHT
"Kapitalanteil % Kapitalanteil Eigenkapital am 31.03.2017 Ergebnis 31.03.2017
EUR EUR EUR
PRIMAG Immobiliengesellschaft
mbH, Dsseldorf
100 % 60.000,00 60.000,00 121.818,021
PRIMAG Grundbesitzgesellschaft
mbH, Dsseldorf
100 % 1.000.000,00 906.764,43 -108.517,65"; 4.13 ;2016/2017;AG;Jahresabschluss;KBHT
"Mit unserem Tochterunternehmen PRIMAG Immobiliengesellschaft mbH besteht ein Gewinnabfhrungs- und Beherrschungsvertrag, nach dem ein entstehender Jahresberschuss von der PRIMAG Immobiliengesellschaft
mbH abzufhren ist. Andererseits ist die Gesellschaft verpflichtet, jeden sonst entstehenden Jahresfehlbetrag dieses Tochterunternehmens auszugleichen."; 4.13 ;2016/2017;AG;Jahresabschluss;KBHT
1 Ergebnis vor Ergebnisabfhrung;;2016/2017;AG;Jahresabschluss;KBHT
Forderungen und sonstige Verm”gensgegenst„nde; 4.25 ;2016/2017;AG;Jahresabschluss;KBHT
S„mtliche Forderungen sowie die sonstigen Verm”gensgegenst„nde sind kurzfristig.; 4.25 ;2016/2017;AG;Jahresabschluss;KBHT
"Forderungen gegenber verbundenen Unternehmen bestehen im Wesentlichen gegenber der Muttergesellschaft GEVI Verm”gensverwaltungsgesellschaft mbH (TEUR 754) und der PRIMAG Immobiliengesellschaft
mbH (TEUR 2.733), letztere in Form eines langfristigen, als Ausleihung im Finanzanlageverm”gen ausgewiesenen Darlehens. Des Weiteren bestehen Verrechnungskonten gegenber der PRIMAG Immobiliengesellschaft
mbH (TEUR 848) und der GEVI Verm”gensverwaltungsgesellschaft mbH (TEUR 11). Das Verrechnungskonto gegenber der PRIMAG Immobiliengesellschaft mbH enth„lt im Wesentlichen
die Umlage der Gemeinkosten auf das Tochterunternehmen (TEUR 597), die Darlehenszinsen (TEUR 77) und den Anteil an der abzufhrenden Umsatzsteuer aus der PRIMAG Immobilien GmbH (TEUR 9). Das
Verrechnungskonto gegenber der GEVI Verm”gensverwaltungsgesellschaft mbH enth„lt ausschlieálich die Zinsen fr die kurzfristige Kapitalausleihung an die Muttergesellschaft."; 4.25 ;2016/2017;AG;Jahresabschluss;KBHT
Eigenkapital;;2016/2017;AG;Jahresabschluss;KBHT
Mehrheitsaktion„rin ist die GEVI Verm”gensverwaltungsgesellschaft mbH, Dsseldorf, mit einem Kapitalanteil von 78,1 % (3.359.525 Aktien).; 52 ;2016/2017;AG;Jahresabschluss;KBHT
"Zum 31. M„rz 2017 bestehen ausschttungsgesperrte Betr„ge in H”he von insgesamt 1.047.655 EUR (õ 285 Nr. 28 HGB), die in voller H”he auf die Aktivierung von latenten Steuern auf steuerliche Verlustvortr„ge
entfallen.";;2016/2017;AG;Jahresabschluss;KBHT
Eigene Anteile; 14 ;2016/2017;AG;Jahresabschluss;KBHT
"Die eigenen Aktien sind mit einer Stckzahl von 30.475 unver„ndert gegenber dem Vorjahr. Aus dem Vorjahresbestand wurden keine Aktien ver„uáert. Ihr Nennwert zum Bilanzstichtag betr„gt T? 30 und
macht somit 0,7 % des Grundkapitals (T? 4.300) aus."; 14 ;2016/2017;AG;Jahresabschluss;KBHT
Kapitalrcklage; 4.39, 19 ;2016/2017;AG;Jahresabschluss;KBHT
Ver„nderungen der Kapitalrcklage haben sich im Gesch„ftsjahr nicht ergeben.; 4.39, 19 ;2016/2017;AG;Jahresabschluss;KBHT
Bilanzgewinn und Gewinnverwendung; 44 ;2016/2017;AG;Jahresabschluss;KBHT
"Der Bilanzgewinn betr„gt TEUR 372, worin ein Gewinnvortrag i.H.v. TEUR 271 und der Jahresberschuss von TEUR 101 enthalten sind. Vom Bilanzgewinn sind TEUR 372 auf Grund der Aktivierung latenter
Steuer ausschttungsgesperrt. Der Bilanzgewinn soll auf das Gesch„ftsjahr 2017/18 vorgetragen werden."; 4.35, 22, 38, 44 ;2016/2017;AG;Jahresabschluss;KBHT
Rckstellungen; 4.47 ;2016/2017;AG;Jahresabschluss;KBHT
Die sonstigen Rckstellungen setzen sich wie folgt zusammen:; 4.50 ;2016/2017;AG;Jahresabschluss;KBHT
"Stand 31.03.2016 Verbrauch Aufl”sung Zufhrung Stand 31.03.2017
EUR EUR EUR EUR EUR
Prfungskosten 33.350,00 30.492,39 2.857,61 30.600,00 30.600,00
Aufsichtsratsvergtung 13.640,00 13.640,00 0,00 29.100,00 29.100,00
Sonstige 7.000,00 0,00 0,00 3.500,00 10.500,00
Gesamt 53.990,00 44.132,39 2.857,61 63.200,00 70.200,00"; 4.50 ;2016/2017;AG;Jahresabschluss;KBHT
Verbindlichkeiten aus Lieferungen und Leistungen; 4.56 ;2016/2017;AG;Jahresabschluss;KBHT
Die Verbindlichkeiten aus Lieferungen und Leistungen haben (wie im Vorjahr) eine Restlaufzeit von weniger als einem Jahr.; 4.56 ;2016/2017;AG;Jahresabschluss;KBHT
Verbindlichkeiten gegenber verbundenen Unternehmen; 4.58 ;2016/2017;AG;Jahresabschluss;KBHT
"Die Verbindlichkeiten gegenber verbundenen Unternehmen sind s„mtlich innerhalb eines Jahres f„llig. Zum Stichtag besteht eine Verbindlichkeit in Form eines Darlehens gegenber der PRIMAG Grundbesitzgesellschaft
mbH (TEUR 567)."; 4.58 ;2016/2017;AG;Jahresabschluss;KBHT
Sonstige Verbindlichkeiten; 4.60 ;2016/2017;AG;Jahresabschluss;KBHT
"Die sonstigen Verbindlichkeiten sind s„mtlich (wie im Vorjahr) innerhalb eines Jahres f„llig und enthalten Verbindlichkeiten aus Lohn- und Gehalt TEUR 4 (Vorjahr TEUR 4), Lohn- und Kirchensteuer mit
TEUR 4 (Vorjahr TEUR 1) sowie aus Umsatzsteuer TEUR 2 (Vorjahr TEUR 2)."; 4.60, 4.61 ;2016/2017;AG;Jahresabschluss;KBHT
Gewinn- und Verlustrechnung;;2016/2017;AG;Jahresabschluss;KBHT
Die Gewinn- und Verlustrechnung wird nach dem Gesamtkostenverfahren gegliedert.; 7 ;2016/2017;AG;Jahresabschluss;KBHT
Die Umsatzerl”se bestehen aus der Weiterberechnung der konzerninternen Kostenumlage in H”he von TEUR 606 (Vorjahr: TEUR 544).; 4.66 ;2016/2017;AG;Jahresabschluss;KBHT
"Das Finanzergebnis beinhaltet im Wesentlichen Ertr„ge aus dem Gewinnabfhrungs- und Verlustbernahme-Vertrag mit der PRIMAG Immobiliengesellschaft mbH in H”he von TEUR 122 (Vorjahr: TEUR
-417) und Zinsertr„ge aus verbundenen Unternehmen in H”he von TEUR 88 (Vorjahr: TEUR 96)."; 4.81,4.86 ;2016/2017;AG;Jahresabschluss;KBHT
Sonstige Angaben;;2016/2017;AG;Jahresabschluss;KBHT
Haftungsverh„ltnisse und sonstige finanzielle Verpflichtungen; 30 ;2016/2017;AG;Jahresabschluss;KBHT
Es bestehen sonstige finanzielle Verpflichtungen aus Miet-, Pacht- und Leasingvertr„gen in H”he von TEUR 47 im Folgejahr.; 47 ;2016/2017;AG;Jahresabschluss;KBHT
"Weiterhin bestehen sonstige finanzielle Verpflichtungen zur Nachzahlung von Bezgen in H”he von TEUR 570, auf die der Vorstand in den Gesch„ftsjahren 2013/2014 bis 2016/2017 verzichtet hat. Ein Verzicht
wurde auch fr Teile der in Folgejahren vertragsm„áig zu leistenden Vergtungen ausgesprochen (Umfang des Verzichtes: TEUR 120 p.a.). Der Verzicht ist mit einer Besserungsklausel versehen, die bei Eintritt
der Bedingungen zu einer Nachzahlung der Bezge fhrt."; 47 ;2016/2017;AG;Jahresabschluss;KBHT
"Durch das notarielle Schuldanerkenntnis mit Unterwerfungsklausel vom 26. November 2015 haftet die PRIMAG AG fr die von der PRIMAG Immobiliengesellschaft mbH im Dezember 2015 ausgegebene
Anleihe (TEUR 2.500) nebst 11% Zinsen bis zu deren F„lligkeit am 30. November 2017. Derzeit gehen wir auf Grund der erwarteten gesch„ftlichen Entwicklung der PRIMAG Immobiliengesellschaft mbH nicht
von einer Inanspruchnahme der PRIMAG AG aus diesem Schuldanerkenntnis aus."; 31 ;2016/2017;AG;Jahresabschluss;KBHT
Vorstand; 55 ;2016/2017;AG;Jahresabschluss;KBHT
"Im Gesch„ftsjahr vom 1. April 2016 bis zum 31. M„rz 2017 wurde die PRIMAG AG durch den Vorstand, Herrn Gerd Esser/Kaufmann, Dsseldorf, vertreten. Er hat fr seine T„tigkeit erfolgsunabh„ngige
Gesamtbezge in H”he von TEUR 146 erhalten."; 55 ;2016/2017;AG;Jahresabschluss;KBHT
Besch„ftigte; 46 ;2016/2017;AG;Jahresabschluss;KBHT
Im Jahresdurchschnitt waren vier Mitarbeiter (ohne Vorstand) besch„ftigt.; 46 ;2016/2017;AG;Jahresabschluss;KBHT
Aufsichtsrat; 55 ;2016/2017;AG;Jahresabschluss;KBHT
"Der Aufsichtsrat bestand im Berichtsjahr aus folgenden Mitgliedern:.
?Herr Friedemann Bruhn, Rechtsanwalt (Vorsitz)
?Herrn Dieter Dunkerbeck, Wirtschaftsprfer/Steuerberater (stellvertretender Vorsitzender)
?Herr Prof. Dr. Christoph Freichel, Wirtschaftsprfer/Steuerberater
Der Gesamtbetrag der Bezge und Auslagen des Aufsichtsrates im Berichtsjahr bel„uft sich auf TEUR 32."; 55 ;2016/2017;AG;Jahresabschluss;KBHT
Konzernabschluss;;2016/2017;AG;Jahresabschluss;KBHT
"Unsere Gesellschaft stellt freiwillig auch einen Konzernabschluss auf. Dieser Konzernabschluss ist damit gleichzeitig der Konzernabschluss fr den gr”áten und fr den kleinsten Kreis von Unternehmen, in den
unsere Gesellschaft einbezogen wird. Der Konzernabschluss wird im elektronischen Bundesanzeiger ver”ffentlicht."; 52 ;2016/2017;AG;Jahresabschluss;KBHT
Nachtragsbericht;;2016/2017;AG;Jahresabschluss;KBHT
Es liegen keine Vorg„nge von besonderer Bedeutung zwischen dem Bilanzstichtag 31. M„rz 2017 und der Erstellung dieses Anhangs vor.;;2016/2017;AG;Jahresabschluss;KBHT
Dsseldorf, den 30. Mai 2017;;2016/2017;AG;Jahresabschluss;KBHT
PRIMAG AG;;2016/2017;AG;Jahresabschluss;KBHT
- Vorstand -.;;2016/2017;AG;Jahresabschluss;KBHT
Entwicklung des Anlageverm”gens 2016/17;;2016/2017;AG;Jahresabschluss;KBHT
"Anschaffungs- und Herstellungskosten Kumulierte Abschreibungen
1.4.2016 Zug„nge Abg„nge 31.3.2017 1.4.2016 Zug„nge
EUR EUR EUR EUR EUR EUR
I. Immaterielle Verm”gensgegenst„nde
Entgeltlich erworbene
Software
31.415,78 0,00 0,00 31.415,78 25.009,78 2.710,00
II. Sachanlagen
Andere Anlagen, Betriebs-
und Gesch„ftsausstattung
312.905,39 105.034,81 338,00 417.602,20 228.589,39 29.326,81
III. Finanzanlagen
1. Anteile an verbundenen
Unternehmen
1.470.000,00 0,00 0,00 1.470.000,00 410.000,00 0,00
2. Ausleihungen an verbundene
Unternehmen
2.911.176,51 0,00 178.160,09 2.733.016,42 0,00 0,00
4.381.176,51 0,00 178.160,09 4.203.016,42 410.000,00 0,00
4.725.497,68 105.034,81 178.498,09 4.652.034,40 663.599,17 32.036,81";;2016/2017;AG;Jahresabschluss;KBHT
"Kumulierte Abschreibungen Buchwerte
Abg„nge 31.3.2017 31.3.2017 31.3.2016
EUR EUR EUR EUR
I. Immaterielle Verm”gensgegenst„nde
Entgeltlich erworbene Software 0,00 27.719,78 3.696,00 6.406,00
II. Sachanlagen
Andere Anlagen, Betriebs- und Gesch„ftsausstattung
338,00 257.578,20 160.024,00 84.316,00
III. Finanzanlagen
1. Anteile an verbundenen Unternehmen
0,00 410.000,00 1.060.000,00 1.060.000,00
2. Ausleihungen an verbundene Unternehmen
0,00 0,00 2.733.016,42 2.911.176,51
0,00 410.000,00 3.793.016,42 3.971.176,51
338,00 695.297,98 3.956.736,42 4.061.898,51";;2016/2017;AG;Jahresabschluss;KBHT
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
